feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
large_down_day_ratio_20,0.004000571823815061,0.025062192405834367,0.014531382114824715,0.025062192405834367,-0.021061620582019304,False,downrisk,62,15,29
yang_zhang_vol_20,0.02055999096098406,0.008256760343327804,0.014408375652155931,0.02055999096098406,0.012303230617656256,False,stage1,10,44,30
drawdown_20,0.016165215519394555,0.011256843077410976,0.013711029298402766,0.016165215519394555,0.004908372441983579,False,stage1,15,26,31
downside_vol_60,0.01689185536815785,0.010444414421646632,0.013668134894902241,0.01689185536815785,0.006447440946511217,False,stage1,14,27,32
return_10d,0.01189035305715007,0.014989196034055269,0.013439774545602669,0.014989196034055269,-0.0030988429769051983,False,downrisk,25,22,33
ma_gap_5_20,0.007184649227087542,0.01773690615055982,0.01246077768882368,0.01773690615055982,-0.010552256923472277,False,downrisk,55,20,34
positive_return_ratio_20,0.011232923827351658,0.012735475604362334,0.011984199715856996,0.012735475604362334,-0.0015025517770106758,False,downrisk,31,24,35
yang_zhang_vol_60,0.0145750582649646,0.00865999856275733,0.011617528413860965,0.0145750582649646,0.00591505970220727,False,stage1,18,41,36
return_5d,0.009382899159150488,0.013074980903605104,0.011228940031377796,0.013074980903605104,-0.003692081744454616,False,downrisk,42,23,37
ewma_vol_60,0.010340407235046783,0.012001593621460823,0.011171000428253804,0.012001593621460823,-0.00166118638641404,False,downrisk,36,25,38
close_to_60d_high,0.01324823564192186,0.008742786717138745,0.010995511179530303,0.01324823564192186,0.004505448924783115,False,stage1,19,38,39
realized_vol_20,0.01276033417418323,0.008907710034498778,0.010834022104341003,0.01276033417418323,0.003852624139684452,False,stage1,22,37,40
down_volume_ratio_20,0.010941207354624076,0.01018760575115983,0.010564406552891953,0.010941207354624076,0.0007536016034642469,False,stage1,32,28,41
ulcer_index_60,0.011451921827669832,0.00933460147338517,0.0103932616505275,0.011451921827669832,0.002117320354284663,False,stage1,28,33,42
close_to_20d_high,0.01895803778345922,0.0014864700653554742,0.010222253924407348,0.01895803778345922,0.017471567718103747,False,stage1,12,64,43
atr_rank_252,0.01011495940024144,0.009855206970394815,0.009985083185318128,0.01011495940024144,0.00025975242984662555,False,stage1,38,32,44
parkinson_vol_60,0.011251622388463436,0.00871683303616831,0.009984227712315873,0.011251622388463436,0.002534789352295126,False,stage1,30,39,45
price_position_20,0.012906808945979084,0.006471652500550868,0.009689230723264976,0.012906808945979084,0.006435156445428216,False,stage1,21,56,46
high_volume_down_ratio_20,0.010316932283338189,0.009053888598447893,0.009685410440893041,0.010316932283338189,0.0012630436848902957,False,stage1,37,35,47
parkinson_vol_20,0.011512155641908644,0.007439968235420337,0.00947606193866449,0.011512155641908644,0.004072187406488307,False,stage1,27,51,48
ulcer_rank_252,0.010614795337287,0.007854649439212626,0.009234722388249813,0.010614795337287,0.002760145898074374,False,stage1,34,48,49
realized_vol_60,0.00809260079554478,0.010041222715630432,0.009066911755587607,0.010041222715630432,-0.0019486219200856528,False,downrisk,48,30,50
vol_of_vol_20,0.007201070397210667,0.010099068909844078,0.008650069653527373,0.010099068909844078,-0.002897998512633411,False,downrisk,54,29,51
bb_width_rank_252,0.009397964827792113,0.007156741042310171,0.008277352935051142,0.009397964827792113,0.0022412237854819413,False,stage1,41,53,52
ulcer_index_20,0.007879243651890041,0.008580553523598263,0.008229898587744151,0.008580553523598263,-0.0007013098717082219,False,downrisk,51,43,53
atr_ratio_20_60,0.006800039429060508,0.009064122576207395,0.007932081002633953,0.009064122576207395,-0.0022640831471468868,False,downrisk,56,34,54
atr_accel_5,0.007405072729665017,0.007527248386533462,0.00746616055809924,0.007527248386533462,-0.0001221756568684446,False,downrisk,52,50,55
trend_consistency_20,0.0073676774096719825,0.006987960326744653,0.007177818868208318,0.0073676774096719825,0.00037971708292732984,False,stage1,53,55,56
atr_ratio_14_60,0.006638331854894262,0.007404818609133084,0.0070215752320136725,0.007404818609133084,-0.0007664867542388218,False,downrisk,57,52,57
true_range_pct,0.011387568147025405,0.0023785560924309964,0.0068830621197282,0.011387568147025405,0.009009012054594409,False,stage1,29,63,58
bb_width_20,0.005709521623285827,0.007911810790935147,0.006810666207110487,0.007911810790935147,-0.0022022891676493203,False,downrisk,58,47,59
bearish_ma_stack,0.0051542986032469375,0.00821227632167115,0.006683287462459045,0.00821227632167115,-0.0030579777184242133,False,downrisk,60,45,60
price_ma_10_gap,0.012050677101046497,0.0,0.006025338550523248,0.012050677101046497,0.012050677101046497,False,stage1,24,65,61
volume_shock_rank_252,0.0022104222199540607,0.008040554568314864,0.005125488394134462,0.008040554568314864,-0.005830132348360804,False,downrisk,66,46,62
volume_ratio_20,0.002258935399645957,0.007813850594512013,0.005036392997078985,0.007813850594512013,-0.005554915194866056,False,downrisk,65,49,63
volume_shock_20,0.0008163070677198,0.005910954900115492,0.003363630983917646,0.005910954900115492,-0.005094647832395692,False,downrisk,68,57,64
volume_zscore_20,0.0028759076674431425,0.003567254677859613,0.003221581172651378,0.003567254677859613,-0.0006913470104164703,False,downrisk,64,60,65
daily_return,0.00427404211045756,0.0,0.00213702105522878,0.00427404211045756,0.00427404211045756,False,stage1,61,65,66
lower_high_20,0.0031238394331589846,0.0,0.0015619197165794923,0.0031238394331589846,0.0031238394331589846,False,stage1,63,65,67
volume_change,0.001647937316475476,0.0,0.000823968658237738,0.001647937316475476,0.001647937316475476,False,stage1,67,65,68
