feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
trend_slope_20,0.009384083642760829,0.022470087815176835,0.01592708572896883,0.022470087815176835,-0.013086004172416007,False,downrisk,46,14,18
atr_pct_10,0.027124492069734038,0.004248430140396971,0.015686461105065504,0.027124492069734038,0.02287606192933707,False,stage1,5,68,19
price_ma_20_gap,0.012346484363892131,0.016818000568628044,0.014582242466260088,0.016818000568628044,-0.004471516204735912,False,downrisk,27,19,20
semi_vol_20,0.021680153312257654,0.006472834861037409,0.014076494086647531,0.021680153312257654,0.015207318451220246,False,stage1,10,52,21
return_20d,0.01007054062984747,0.017838562377101276,0.013954551503474372,0.017838562377101276,-0.007768021747253806,False,downrisk,40,18,22
ma_gap_5_20,0.008311487303852493,0.019324532488374964,0.013818009896113728,0.019324532488374964,-0.011013045184522471,False,downrisk,54,16,23
atr_pct_14,0.022297272974507603,0.004885616225565783,0.013591444600036693,0.022297272974507603,0.01741165674894182,False,stage1,8,63,24
price_position_20,0.01296402676170839,0.013438002929181589,0.013201014845444989,0.013438002929181589,-0.0004739761674731977,False,downrisk,24,24,25
atr_pct_20,0.021817638975624012,0.0036630916484178063,0.01274036531202091,0.021817638975624012,0.018154547327206207,False,stage1,9,74,26
drawdown_20,0.015486621968503887,0.008636063542380092,0.01206134275544199,0.015486621968503887,0.006850558426123796,False,stage1,14,39,27
trend_slope_10,0.008238180404106739,0.015498017184818212,0.011868098794462476,0.015498017184818212,-0.007259836780711473,False,downrisk,57,22,28
atr_rank_252,0.016401884173377304,0.0065963118909495785,0.011499098032163441,0.016401884173377304,0.009805572282427726,False,stage1,13,51,29
downside_vol_60,0.013369161320230295,0.009365819107143233,0.011367490213686764,0.013369161320230295,0.004003342213087062,False,stage1,21,35,30
ulcer_index_60,0.012040428559033436,0.010346946570565646,0.011193687564799541,0.012040428559033436,0.0016934819884677904,False,stage1,31,30,31
positive_return_ratio_20,0.006209797797037171,0.01615965442564745,0.011184726111342311,0.01615965442564745,-0.009949856628610278,False,downrisk,67,21,32
downside_vol_20,0.015073906399987801,0.006921083600464301,0.010997495000226051,0.015073906399987801,0.0081528227995235,False,stage1,16,49,33
return_10d,0.008344431361108275,0.013251940984720557,0.010798186172914417,0.013251940984720557,-0.0049075096236122825,False,downrisk,53,25,34
large_down_day_ratio_20,0.002292838227615917,0.019098398795435977,0.010695618511525947,0.019098398795435977,-0.01680556056782006,False,downrisk,79,17,35
