fold,train_start,train_end,test_start,test_end,train_rows,test_rows,base_lt25,tier1,tier2,tier3,full,train_score,train_cagr,train_mdd,train_sharpe,train_annual_turnover,oos_cagr_segment,oos_mdd_segment,oos_sharpe_segment,oos_avg_stock_weight,oos_annual_turnover_segment
10,2015-07-06 00:00:00,2018-07-03 00:00:00,2018-07-05 00:00:00,2018-10-02 00:00:00,756,63,0.78,0.78,0.84,0.98,0.98,-0.03256811950089511,0.12483661361382747,-0.09238154846344715,1.1293824975165652,6.973333333333334,0.08071433336847544,-0.028945458749278563,0.9857093857694962,0.6844444444444444,3.5200000000000014
11,2015-10-02 00:00:00,2018-10-02 00:00:00,2018-10-03 00:00:00,2019-01-03 00:00:00,756,63,0.76,0.78,0.84,0.98,0.98,0.0661649535754315,0.13255946442062672,-0.09008181808932092,1.272770970248661,6.520000000000001,-0.11502731366083274,-0.05310643747209942,-0.840401738554118,0.37904761904761913,7.84
12,2016-01-04 00:00:00,2019-01-03 00:00:00,2019-01-04 00:00:00,2019-04-04 00:00:00,756,63,0.76,0.78,0.84,0.98,0.98,-0.01693836016256478,0.11157784889819067,-0.09008181808932059,1.0628027865675544,6.253333333333334,0.530100090894779,-0.01646975494391245,4.297572254126824,0.7015873015873015,7.839999999999999
13,2016-04-05 00:00:00,2019-04-04 00:00:00,2019-04-05 00:00:00,2019-07-05 00:00:00,756,63,0.76,0.78,0.84,0.98,0.98,0.19678358650501937,0.14614674280312379,-0.09008181808932092,1.3722761378148314,5.6000000000000005,0.10782051141871762,-0.04879788822945097,1.0567190206824304,0.6561904761904759,9.76
14,2016-07-05 00:00:00,2019-07-05 00:00:00,2019-07-08 00:00:00,2019-10-03 00:00:00,756,63,0.76,0.78,0.9,0.92,0.98,0.22821439832035678,0.15625947967548015,-0.09008181808931992,1.5271088654098086,6.08,-0.0600468693505144,-0.05528045308732854,-0.4480490825988415,0.7196825396825394,13.279999999999998
15,2016-10-03 00:00:00,2019-10-03 00:00:00,2019-10-04 00:00:00,2020-01-03 00:00:00,756,63,0.76,0.78,0.9,0.98,0.98,0.021340204317991995,0.12585373622220386,-0.09008181808932114,1.2134738048250882,6.746666666666667,0.5471884832243978,-0.01590881500063346,5.234097731658102,0.7869841269841273,2.3999999999999995
16,2017-01-03 00:00:00,2020-01-03 00:00:00,2020-01-06 00:00:00,2020-04-03 00:00:00,756,63,0.76,0.78,0.9,0.98,0.98,0.20350618332334525,0.16334366661821131,-0.09008181808932081,1.547688609318507,6.6000000000000005,0.004794901205812385,-0.11229770759014579,0.11444191187350528,0.49523809523809537,6.4
17,2017-04-04 00:00:00,2020-04-03 00:00:00,2020-04-06 00:00:00,2020-07-06 00:00:00,756,63,0.76,0.78,0.9,0.98,0.98,-0.008418086711336259,0.13611568461995427,-0.11229770759014568,1.193091278562354,7.013333333333334,1.1378203970506404,-0.047666713744229594,3.8932168630395334,0.7174603174603176,11.2
18,2017-07-05 00:00:00,2020-07-06 00:00:00,2020-07-07 00:00:00,2020-10-02 00:00:00,756,63,0.76,0.78,0.9,0.96,0.98,0.1388843859776966,0.19668248816141976,-0.1122977075901459,1.5122700377613836,7.653333333333333,0.059106129512639605,-0.0597023710284772,0.5386808917985297,0.4142857142857144,7.039999999999999
19,2017-10-03 00:00:00,2020-10-02 00:00:00,2020-10-05 00:00:00,2021-01-04 00:00:00,756,63,0.76,0.78,0.9,0.96,0.98,0.08456758996270186,0.18844491739698044,-0.11229770759014568,1.423176074382776,7.8,0.1630800797357863,-0.04243714046127245,1.6471580090119737,0.48253968253968277,4.960000000000001
20,2018-01-03 00:00:00,2021-01-04 00:00:00,2021-01-05 00:00:00,2021-04-06 00:00:00,756,63,0.76,0.78,0.9,0.96,0.98,0.027909505445228078,0.1775559958900137,-0.11229770759014579,1.34281927512199,7.96,0.23391581693021712,-0.06518005783823533,1.6262231897674502,0.5479365079365079,10.239999999999998
21,2018-04-05 00:00:00,2021-04-06 00:00:00,2021-04-07 00:00:00,2021-07-06 00:00:00,756,63,0.76,0.78,0.9,0.96,0.98,0.1782121076608726,0.21487419731868007,-0.11229770759014601,1.616899245471947,8.040000000000001,0.2858604957996753,-0.05442930830507531,2.2020970668160578,0.7749206349206351,4.32
22,2018-07-05 00:00:00,2021-07-06 00:00:00,2021-07-07 00:00:00,2021-10-04 00:00:00,756,63,0.76,0.78,0.9,0.96,0.98,0.21406615535515938,0.20946281060795768,-0.11229770759014568,1.5637273943053298,7.266666666666666,0.01272472620029741,-0.048438960172512924,0.19339458205582089,0.6625396825396828,4.000000000000001
23,2018-10-03 00:00:00,2021-10-04 00:00:00,2021-10-05 00:00:00,2022-01-03 00:00:00,756,63,0.76,0.78,0.9,0.96,0.98,0.18551051398478224,0.2018423638788822,-0.11229770759014568,1.509428158932473,7.239999999999999,0.3171323596615867,-0.03684946156224311,2.1768199074926136,0.7574603174603173,6.720000000000001
24,2019-01-04 00:00:00,2022-01-03 00:00:00,2022-01-04 00:00:00,2022-04-04 00:00:00,756,63,0.76,0.78,0.9,0.96,0.98,0.35227063310205886,0.2443806790988019,-0.11229770759014568,1.7926795434314662,7.213333333333334,-0.36249785584208927,-0.1092051216390687,-2.972301584709841,0.46634920634920646,13.120000000000001
25,2019-04-05 00:00:00,2022-04-04 00:00:00,2022-04-05 00:00:00,2022-07-06 00:00:00,756,63,0.78,0.78,0.9,0.96,0.98,-0.036788791221657235,0.1568748570600782,-0.13953930940437664,1.1816201997693856,7.586666666666667,-0.3767693415199139,-0.14641013538418968,-2.8491294997124,0.4180952380952381,5.279999999999999
26,2019-07-08 00:00:00,2022-07-06 00:00:00,2022-07-07 00:00:00,2022-10-04 00:00:00,756,63,0.78,0.78,0.9,0.96,0.98,-0.30831268578000076,0.10230102657813656,-0.2638902390611564,0.7846370423812127,7.2799999999999985,-0.1657400315813412,-0.15741771055349174,-0.7136499529537027,0.70031746031746,12.799999999999999
27,2019-10-04 00:00:00,2022-10-04 00:00:00,2022-10-05 00:00:00,2023-01-04 00:00:00,756,63,0.78,0.78,0.9,0.92,0.98,-0.3674391332016818,0.09124898931478032,-0.27443864977365007,0.6763420835946368,7.239999999999999,-0.12140091839840683,-0.07623728242725292,-0.6853782796235761,0.5073015873015874,17.6
