section,segment,count,pct,win_rate,mean_daily_return,ann_return_est,ann_vol_est,avg_stock_weight,avg_turnover,avg_prob_high_vol,avg_up_strength_score,avg_down_strength_score,avg_offensive_tier,avg_full_stock_rate,avg_tier3_rate
signal_binary,full_stock_true,221,0.06583258862079237,0.6018099547511312,0.0015587518825754747,0.4624884694364946,0.15757629939662415,1.0,0.010497737556561096,0.387809084205914,0.6447439837589166,0.16923413269619805,3.0,1.0,1.0
signal_binary,offensive_active_true,660,0.1966041108132261,0.5742424242424242,0.0014155369552739155,0.4088900754911442,0.16550125731818802,0.8914242424242425,0.061575757575757575,0.5513075872290352,0.5722869210429575,0.21405127040573851,2.262121212121212,0.33484848484848484,0.5727272727272728
signal_binary,short_mid_true,420,0.12511170688114387,0.5761904761904761,0.0014129406687277664,0.40783250584067443,0.16618342894822644,0.962047619047619,0.04695238095238095,0.4798800825874784,0.5941045994994292,0.20488782466727912,2.7928571428571427,0.5095238095238095,0.8357142857142857
signal_binary,tier1_true,672,0.20017873100983022,0.5744047619047619,0.0014102803387695585,0.4074111590263536,0.1638444436972528,0.8927678571428572,0.06077380952380953,0.5400690292341932,0.5705512441956978,0.2125830276686731,2.2425595238095237,0.3288690476190476,0.5625
signal_binary,tier3_true,378,0.1126005361930295,0.582010582010582,0.0013472618870839935,0.3837974053984887,0.17022273833926482,0.983915343915344,0.04497354497354497,0.4724467519217464,0.6182399239837802,0.19059232111159452,3.0,0.5846560846560847,1.0
signal_binary,tier2_true,415,0.1236222817992255,0.5759036144578313,0.0013384724633260113,0.3805975164090529,0.17086471285411983,0.971566265060241,0.04877108433734939,0.4775236268243798,0.6099836942079742,0.19471489332856246,2.910843373493976,0.5325301204819277,0.8963855421686747
signal_binary,no_offensive_true,2697,0.803395889186774,0.5598813496477568,0.0003993996513787444,0.098723321778583,0.11376657804180446,0.6692769744160177,0.021490545050055616,0.45339170783875044,0.18852181839495089,0.36423323588707945,0.027437893956247683,0.0,0.0
signal_binary,custom_lite_true,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
signal_regime,RISK_OFF,375,0.11170688114387846,0.5813333333333334,0.0010356188316881453,0.28674850234816396,0.13232018442536814,0.5101866666666666,0.08501333333333334,0.803996263857039,0.4538624813285758,0.3356838943745234,0.336,0.0,0.0
signal_regime,WATCH,556,0.1656240691093238,0.5503597122302158,0.0007202723283300893,0.18497739650948897,0.15319525199184053,0.7309712230215827,0.050863309352517976,0.6373049754523398,0.3395297641594193,0.3628051805501861,1.1151079136690647,0.06654676258992806,0.29676258992805754
signal_regime,NORMAL,2044,0.6088769734882336,0.5640900195694716,0.0005176092782030011,0.13146608526596193,0.11731646592914649,0.8206066536203523,0.01634050880626223,0.28599997718274095,0.16238109509083154,0.3408121087482786,0.40166340508806264,0.09001956947162426,0.10420743639921722
signal_regime,EXTREME_RISK,382,0.11379207625856419,0.5549738219895288,0.00043092515488936915,0.10689410568933555,0.11866011936196771,0.3097382198952881,0.013193717277486899,0.9063778140127227,0.511174801997439,0.2601826821921716,0.0,0.0,0.0
