selection_date,validation_start,validation_end,candidate_id,up_trigger,strong_up_trigger,max_up_bonus,full_stock_up_trigger,full_stock_high_vol_max,no_trade_band,score,sharpe,calmar,mdd,annual_turnover,custom_up_ratio,changed_params,mdd_penalty,turnover_penalty,custom_up_penalty,change_penalty
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,35,0.55,0.7,0.03,0.85,0.2,0.16,2.1909964605318666,1.0549863486947348,1.647509618564937,-0.06783133592141077,1.5249697876852286,0.44047619047619047,2,0.0,0.12199758301481829,0.0,0.06
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,36,0.55,0.7,0.03,0.9,0.15,0.12,2.1298316718094368,1.0498988262236268,1.656574195399042,-0.06849295114114917,1.9415813841678,0.44047619047619047,3,0.0,0.15532651073342402,0.0,0.09
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,37,0.55,0.7,0.03,0.9,0.15,0.16,2.1909964605318666,1.0549863486947348,1.647509618564937,-0.06783133592141077,1.5249697876852286,0.44047619047619047,2,0.0,0.12199758301481829,0.0,0.06
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,38,0.55,0.7,0.03,0.9,0.2,0.12,2.0998316718094365,1.0498988262236268,1.656574195399042,-0.06849295114114917,1.9415813841678,0.44047619047619047,4,0.0,0.15532651073342402,0.0,0.12
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,39,0.55,0.7,0.03,0.9,0.2,0.16,2.160996460531867,1.0549863486947348,1.647509618564937,-0.06783133592141077,1.5249697876852286,0.44047619047619047,3,0.0,0.12199758301481829,0.0,0.09
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,40,0.55,0.7,0.06,0.85,0.15,0.12,2.1612712517307897,1.062161452903699,1.6815412226901278,-0.06875468138463148,1.951539741562645,0.44047619047619047,3,0.0,0.1561231793250116,0.0,0.09
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,41,0.55,0.7,0.06,0.85,0.15,0.16,2.1775773026297474,1.0478212093661723,1.669606805132699,-0.06809325206226513,1.824116885532307,0.44047619047619047,2,0.0,0.14592935084258457,0.0,0.06
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,42,0.55,0.7,0.06,0.85,0.2,0.12,2.1312712517307895,1.062161452903699,1.6815412226901278,-0.06875468138463148,1.951539741562645,0.44047619047619047,4,0.0,0.1561231793250116,0.0,0.12
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,43,0.55,0.7,0.06,0.85,0.2,0.16,2.1475773026297476,1.0478212093661723,1.669606805132699,-0.06809325206226513,1.824116885532307,0.44047619047619047,3,0.0,0.14592935084258457,0.0,0.09
2022-02-18 00:00:00,2021-01-22 00:00:00,2022-01-20 00:00:00,44,0.55,0.7,0.06,0.9,0.15,0.12,2.1312712517307895,1.062161452903699,1.6815412226901278,-0.06875468138463148,1.951539741562645,0.44047619047619047,4,0.0,0.1561231793250116,0.0,0.12
