asset_class,allocation_regime,mid_trend_state,ph_rank_bin_756,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
high_vol_growth,CUSTOM,BEAR,50_70,8,2017-04-19 00:00:00,2025-05-08 00:00:00,0.8,0.5075000000000001,0.8,0.6458324532955886,0.7190074611302856,0.5939980158730158,0.6436838624338623,0.5099639614157806,0.5771619487645421,0.18391348404982713,1.0,0.0,1.0,27.719516964736624,-0.005140867500691426,27.719516964736624,63.17471262499279,-0.006873942294450486,-35.455195660256166
high_vol_growth,CUSTOM,BEAR,70_85,61,2016-02-04 00:00:00,2025-04-28 00:00:00,0.8186885245901636,0.5032786885245901,0.7999999999999997,0.6987847243908977,0.7139550945119447,0.8053603955243299,0.7907667620782376,0.9248913725505501,0.5912768797386805,0.1596803483382545,1.0,0.0,1.0,6.619701038612135,-0.16215667377372323,6.619701038612135,8.947997283171546,-0.19668077060354427,-2.328296244559411
high_vol_growth,CUSTOM,BEAR,85_95,67,2016-02-05 00:00:00,2025-05-07 00:00:00,0.8098507462686566,0.4585074626865673,0.7999999999999998,0.7732673204656858,0.7572170029689179,0.9217602463871121,0.9074074074074074,1.4675500419225267,0.5936109176446585,0.15919711503899364,1.0,0.0,1.0,1.5099958240682754,-0.1400235191655681,1.5099958240682754,2.0266868583025723,-0.17094497057502023,-0.516691034234297
high_vol_growth,CUSTOM,BEAR,95_100,21,2015-01-28 00:00:00,2022-04-20 00:00:00,0.8104761904761906,0.4685714285714286,0.8000000000000002,0.7919651540971938,0.7360113764434777,0.981103552532124,0.9755110663569204,2.2060367232125744,0.6230190509236258,0.16316324080481112,1.0,0.0,1.0,-0.3889765048103099,-0.10220746841872075,-0.3889765048103099,-0.42769887614680124,-0.12263048475873706,0.03872237133649137
high_vol_growth,CUSTOM,BEAR,raw_fallback,28,2013-02-04 00:00:00,2014-10-27 00:00:00,0.8592857142857143,0.8314285714285715,0.8314285714285715,0.2637542390530663,0.26106103904044714,,,,0.352332496985957,0.3939462118442466,0.8571428571428571,0.0,0.0,3.0321966246083116,-0.028424071552536345,3.0321966246083116,3.9390423570832684,-0.034291963411434034,-0.9068457324749568
high_vol_growth,CUSTOM,BULL,00_30,288,2018-08-27 00:00:00,2026-05-07 00:00:00,0.8347916666666667,0.8149305555555556,0.8234722222222223,0.29495919208663207,0.29815428135851413,0.09640239197530864,0.08730618018812462,-1.478316248240765,0.14084226522485407,0.3252347778632174,0.13194444444444445,0.0,1.0,-0.04259778918728219,-0.3336741539904866,-0.04259778918728219,-0.0604786335985229,-0.38787254974857366,0.017880844411240715
high_vol_growth,CUSTOM,BULL,30_50,27,2020-01-27 00:00:00,2026-03-10 00:00:00,0.8185185185185185,0.7318518518518518,0.7622222222222221,0.45087947155590413,0.4094366917680138,0.4423868312757201,0.39388594944150507,-0.3784541577617069,0.23784268464138109,0.35239724679564866,0.2222222222222222,0.0,1.0,4.305157119165466,-0.03780561957385964,4.305157119165466,6.209662809342888,-0.04686024223529528,-1.9045056901774213
high_vol_growth,CUSTOM,BULL,50_70,60,2015-02-25 00:00:00,2026-03-11 00:00:00,0.8256666666666668,0.7363333333333334,0.7823333333333333,0.4299819038932523,0.39963253577556984,0.5868386243386242,0.595175077119112,0.17207147859674354,0.1990923946164259,0.2895090189206509,0.23333333333333334,0.0,1.0,-0.19585884247465768,-0.15863333446999972,-0.19585884247465768,-0.25315575879391405,-0.19482964762013566,0.057296916319256375
high_vol_growth,CUSTOM,BULL,70_85,30,2015-04-17 00:00:00,2025-12-04 00:00:00,0.8453333333333334,0.6713333333333332,0.7673333333333333,0.5184498960773152,0.49233163036925814,0.7806216931216932,0.7736227219038699,0.7717149088953517,0.2793443475387594,0.39195513929381665,0.4,0.0,1.0,1.3298276238173043,-0.04403173336101651,1.3298276238173043,2.0385319348052526,-0.04963036605354032,-0.7087043109879483
high_vol_growth,CUSTOM,BULL,85_95,20,2015-02-13 00:00:00,2025-12-03 00:00:00,0.8390000000000001,0.6809999999999998,0.797,0.513360927812755,0.4873332603013297,0.88125,0.8908698607841226,1.3754232442184358,0.35706461978049153,0.2715842074715212,0.55,0.0,1.0,-0.7662531547517186,-0.14443401585585824,-0.7662531547517186,-0.8398879110561854,-0.17851936406993918,0.07363475630446681
high_vol_growth,CUSTOM,BULL,95_100,11,2015-03-25 00:00:00,2017-03-22 00:00:00,0.8090909090909091,0.5981818181818181,0.7872727272727272,0.699506387114525,0.6154923810594007,0.9835858585858586,0.9881814402642232,3.028054680965626,0.2930268182659177,0.29029453325491866,0.6363636363636364,0.0,1.0,1.3359466028325966,-0.03469161324077796,1.3359466028325966,1.6304784220333617,-0.04427457493930531,-0.2945318192007651
high_vol_growth,CUSTOM,BULL,raw_fallback,410,2013-01-28 00:00:00,2014-12-17 00:00:00,0.8485853658536584,0.8544390243902439,0.8558048780487805,0.15645159823501978,0.15485779357205778,,,,0.14699984264462487,0.42726226444938675,0.07317073170731707,0.0,0.0,0.2150004652380746,-0.08107413257780505,0.2150004652380746,0.24953875308355067,-0.0953919816644585,-0.03453828784547608
high_vol_growth,CUSTOM,NEUTRAL,00_30,15,2018-10-10 00:00:00,2026-03-13 00:00:00,0.848,0.8119999999999999,0.8320000000000001,0.2755893229941527,0.2907220695407732,0.08346560846560845,0.07804232804232804,-1.4810094781334067,0.39349788591757967,0.37937637329359053,0.6666666666666666,0.0,1.0,1.4259124810798887,-0.03704174349162559,1.4259124810798887,1.9430640679949218,-0.045266701084602845,-0.5171515869150332
high_vol_growth,CUSTOM,NEUTRAL,30_50,8,2017-05-01 00:00:00,2026-03-09 00:00:00,0.8525,0.6975,0.7975000000000001,0.4507360253483057,0.44913079078561535,0.37351190476190477,0.41798941798941797,-0.27010471831197125,0.39368028340907996,0.38118501433550417,0.75,0.0,1.0,-0.5230775918943447,-0.04377978121196735,-0.5230775918943447,-0.5733712621222764,-0.05147410988189516,0.05029367022793174
high_vol_growth,CUSTOM,NEUTRAL,50_70,9,2018-05-02 00:00:00,2022-11-16 00:00:00,0.8,0.5177777777777778,0.7155555555555555,0.6768042686912747,0.684984382867174,0.5983245149911817,0.6058201058201058,0.4005426744588696,0.448268075516694,0.21492781088293564,0.6666666666666666,0.0,1.0,-0.5154512770844442,-0.04546570731010824,-0.5154512770844442,-0.6026243395450408,-0.05699038570553916,0.08717306246059664
