Date,Close,pred_label,prob_상승,prob_하락,prob_횡보,prob_고변동,prob_불확실,stock_weight,bond_weight,cash_weight,allocation_reason,qqq_next_month_return,bond_monthly_return,cash_monthly_return,strategy_return,benchmark_return,strategy_capital,benchmark_capital,strategy_cumulative_return,benchmark_cumulative_return
2023-12-29,404.5364074707031,상승,37.8542,11.7134,22.7862,27.6462,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.018192044885242842,0.0,0.0,0.009096022442621421,0.018192044885242842,114802148.269927,135103847.38160104,0.14802148269926985,0.3510384738160104
2024-01-31,411.895751953125,상승,48.376,9.2387,18.7844,23.6009,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.052833592650218586,0.0,0.0,0.03170015559013115,0.052833592650218586,118441394.23216498,142241869.01963785,0.18441394232164976,0.42241869019637845
2024-02-29,433.6576843261719,상승,38.9203,7.1083,25.0543,28.9171,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.012749668457529673,0.0,0.0,0.006374834228764836,0.012749668457529673,119196438.48621881,144055405.6904176,0.19196438486218814,0.44055405690417593
2024-03-28,439.1866760253906,상승,47.3484,8.5028,23.965,20.1838,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.04373783854641311,0.0,0.0,-0.026242703127847867,-0.04373783854641311,116068401.7371282,137754733.61459208,0.16068401737128202,0.37754733614592073
2024-04-30,419.97760009765625,상승,40.6071,7.9989,18.5679,32.8261,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.06151821713194172,0.0,0.0,0.03075910856597086,0.06151821713194172,119638562.30723925,146229159.22804734,0.1963856230723926,0.46229159228047334
2024-05-31,445.8138732910156,상승,49.3951,12.5909,21.336,16.6781,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.06470120777531929,0.0,0.0,0.038820724665191576,0.06470120777531929,124283017.99390794,155690362.44207147,0.24283017993907952,0.5569036244207146
2024-06-28,474.6585693359375,상승,38.1494,15.0832,20.0834,26.6839,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,-0.016781053815666747,0.0,0.0,-0.008390526907833373,-0.016781053815666747,123240217.98724332,153077714.0913504,0.23240217987243317,0.530777140913504
2024-07-31,466.69329833984375,상승,42.6639,5.4673,21.0399,30.8289,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.01103866796803632,0.0,0.0,0.00551933398401816,0.01103866796803632,123920421.91057813,154767488.15051082,0.23920421910578127,0.5476748815051082
2024-08-30,471.844970703125,상승,48.2837,2.9448,20.939,27.8325,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.026215968834937264,0.0,0.0,0.01572958130096236,0.026215968834937264,125869638.26187013,158824867.79652613,0.2586963826187012,0.5882486779652614
2024-09-30,484.21484375,상승,44.92,3.4979,24.2841,27.298,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,-0.00864625602013569,0.0,0.0,-0.004323128010067845,-0.00864625602013569,125325487.70308313,157451627.32719317,0.2532548770308314,0.5745162732719318
2024-10-31,480.0281982421875,상승,53.7724,6.422,22.2879,17.5177,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.0535082218426397,0.0,0.0,0.03210493310558382,0.0535082218426397,129349054.10221528,165876583.93170124,0.29349054102215266,0.6587658393170124
2024-11-29,505.7136535644531,상승,44.4893,9.5665,26.7866,19.1577,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.004540400604059247,0.0,0.0,0.0022702003020296235,0.004540400604059247,129642702.36390537,166629730.07358402,0.2964270236390536,0.6662973007358401
2024-12-31,508.0097961425781,상승,42.7858,6.1129,24.5684,26.5328,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.021633842380349266,0.0,0.0,0.010816921190174633,0.021633842380349266,131045037.25825699,170234571.38987607,0.3104503725825698,0.7023457138987608
2025-01-31,519.0,상승,44.2843,5.9083,24.0675,25.7399,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,-0.027034516968479028,0.0,0.0,-0.013517258484239514,-0.027034516968479028,129273667.61656033,165632361.9810147,0.29273667616560317,0.656323619810147
2025-02-28,504.9690856933594,상승,46.3385,4.5569,25.462,23.6425,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.07586185556904657,0.0,0.0,-0.04551711334142794,-0.07586185556904657,123389503.43559526,153067183.6588509,0.2338950343559525,0.530671836588509
2025-03-31,466.66119384765625,상승,46.1428,5.5581,13.6842,34.6148,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.01396816831042802,0.0,0.0,0.00838090098625681,0.01396816831042802,124423618.64663237,155205251.84300095,0.24423618646632383,0.5520525184300096
2025-04-30,473.1795959472656,상승,65.6734,2.1853,2.7722,29.369,0.0,0.75,0.15,0.1,"상승 확률 60% 이상, 하락 확률 25% 미만: 주식 비중 확대",0.09178299415245861,0.0,0.0,0.06883724561434396,0.09178299415245861,132988597.84363608,169450454.56533796,0.3298859784363608,0.6945045456533796
2025-05-30,516.6094360351562,상승,80.0365,1.9687,5.3485,12.6464,0.0,0.75,0.15,0.1,"상승 확률 60% 이상, 하락 확률 25% 미만: 주식 비중 확대",0.06385819497788847,0.0,0.0,0.047893646233416354,0.06385819497788847,139357906.70183727,180271254.73206314,0.39357906701837275,0.8027125473206314
2025-06-30,549.5991821289062,상승,76.2327,2.3115,12.6979,8.7579,0.0,0.75,0.15,0.1,"상승 확률 60% 이상, 하락 확률 25% 미만: 주식 비중 확대",0.024236967792024444,0.0,0.0,0.018177725844018333,0.024236967792024444,141891116.52405956,184640483.326832,0.4189111652405957,0.8464048332683201
2025-07-31,562.9197998046875,상승,48.8683,12.0618,20.6858,18.3842,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.009539755377876658,0.0,0.0,0.005723853226725994,0.009539755377876658,142703280.44921955,186401908.37062287,0.4270328044921956,0.8640190837062287
2025-08-29,568.2899169921875,상승,50.6839,11.3674,17.0348,20.9139,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.0537621543526261,0.0,0.0,0.03225729261157566,0.0537621543526261,147306501.92330176,196423276.54006836,0.47306501923301747,0.9642327654006835
2025-09-30,598.8424072265625,상승,45.3413,15.3755,22.0723,17.2108,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.0478039193862998,0.0,0.0,0.028682351631779877,0.0478039193862998,151531598.80911335,205813079.01738265,0.5153159880911335,1.0581307901738266
2025-10-31,627.4694213867188,고변동,35.0795,10.9739,17.8466,36.1,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,-0.015610489765097046,0.0,0.0,-0.007805244882548523,-0.015610489765097046,150348857.57296413,202600236.0538587,0.5034885757296412,1.026002360538587
2025-11-28,617.67431640625,상승,38.2955,12.5272,18.8944,30.2829,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,-0.00669922537365697,0.0,0.0,-0.003349612686828485,-0.00669922537365697,149845247.13218758,201242971.4117778,0.49845247132187565,1.0124297141177778
2025-12-31,613.536376953125,상승,47.9667,10.463,24.9003,16.67,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,0.012306484762509173,0.0,0.0,0.007383890857505504,0.012306484762509173,150951688.08252758,203719564.9730189,0.5095168808252757,1.0371956497301893
2026-01-30,621.0868530273438,상승,47.2733,14.3705,19.4073,18.9489,0.0,0.6,0.25,0.15,상승 우세: 중간 수준 주식 비중,-0.02344542544546735,0.0,0.0,-0.014067255267280409,-0.02344542544546735,148828212.15324378,198943273.10066095,0.4882821215324378,0.9894327310066096
2026-02-27,606.5252075195312,상승,39.1202,8.9286,17.6382,34.313,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,-0.048382514823681166,0.0,0.0,-0.024191257411840583,-0.048382514823681166,145227870.56290063,189317897.24079657,0.4522787056290063,0.8931789724079657
2026-03-31,577.1799926757812,고변동,35.6863,8.3806,18.885,37.048,0.0,0.5,0.3,0.2,명확한 우세 국면 없음: 기본 배분,0.12417267372331686,0.0,0.0,0.06208633686165843,0.12417267372331686,154244537.0563702,212826006.72486243,0.542445370563702,1.128260067248624
