period,strategy_return,stock_buyhold_return,benchmark_60_40_return
2015-08-31,-0.08059537551856932,-0.06672058733011488,-0.037742201751787885
2015-09-30,0.004516200632426637,0.0030894964686867254,0.01023234879402568
2015-10-31,0.059436601623867436,0.08205114880436981,0.04146894366160292
2015-11-30,-0.010298342173052366,-0.01170614243914947,-0.005427591144676169
2015-12-31,-0.03287294393321194,-0.028636492564810934,-0.018021195172334803
2016-01-31,-0.03735424307163149,-0.05562180521941351,-0.0200201729068209
2016-02-29,0.010280773203852123,0.046487061843353716,0.028363816869723335
2016-03-31,0.03456594301378635,0.04177768246370417,0.02902964189263124
2016-04-30,-0.0005468316967358611,-0.0004363564799939601,0.00015913252040689052
2016-05-31,0.012657588125016161,0.02304046296455242,0.013409033617509891
2016-06-30,0.000576170166390666,-0.0067146978922432154,0.010952784007645988
2016-07-31,0.03229260120945754,0.0342594550125499,0.015814598825621085
2016-08-31,0.012373798853854368,0.013082856071424898,0.005749049654410809
2016-09-30,-0.011486952914587012,-0.0119320521622579,-0.008413885122497078
2016-10-31,-0.018595708817669032,-0.02301093180531666,-0.015815808152322752
2016-11-30,0.02758929676645061,0.047392045330777455,0.00983325726044293
2016-12-31,0.03396301173559402,0.03748847231883734,0.021941162087641963
2017-01-31,0.004555861519795812,0.005251993589936221,0.003238122578898661
2017-02-28,0.03977470070163713,0.04609941900082548,0.027073295825698507
2017-03-31,-0.007258298928647822,-0.007410295775422848,0.0012726162793055273
2017-04-30,0.013971739528275684,0.013971739528275684,0.0114692531609899
2017-05-31,0.02261577009861404,0.02261577009861404,0.01858627618570341
2017-06-30,-0.0008849904467157499,-0.0008849904467157499,-0.005211883831378716
2017-07-31,0.018775513572018454,0.019236306707591577,0.01486179397469245
2017-08-31,-0.006554503319158744,-0.005577179754654216,0.003582851678006538
2017-09-30,0.032211325214520414,0.032735546992898046,0.012174319154054425
2017-10-31,0.01848743293197108,0.018705937765630898,0.011124444460298477
2017-11-30,0.02512223103102751,0.025428121777311796,0.014647202941564297
2017-12-31,0.0288299016702267,0.029198182492977898,0.015994344008029904
2018-01-31,0.017987276927601492,0.018412456065627136,-0.0002510223996683436
2018-02-28,-0.027052116467044085,-0.023125494259897517,-0.013110617415546089
2018-03-31,-0.020013573697760356,-0.027001739940321734,-0.01230947159574014
2018-04-30,0.0013894217206074089,0.009318624230423067,0.0010030363727666636
2018-05-31,0.026380391017825522,0.04445270186624528,0.028269034458088704
2018-06-30,-0.0076943034283175615,-0.010125600179743288,-0.0015773422704385975
2018-07-31,0.030227664909383334,0.04241424155423723,0.021924431306613812
2018-08-31,0.02325827992171514,0.023513586939483133,0.017734233472532113
2018-09-30,0.013034560333110345,0.013319436914309257,0.004117787543665541
2018-10-31,-0.07131703382655741,-0.06746439520982561,-0.043370714567177115
2018-11-30,-0.0043083067818718845,-0.006031937965409795,0.006827763685799626
2018-12-31,-0.014717911441743059,-0.09107816907526456,-0.04306639037352711
2019-01-31,0.042102088001001015,0.1136318163540393,0.062407445153629615
2019-02-28,0.020219649172743326,0.027356778795551318,0.017277285587790514
2019-03-31,0.02608761692046868,0.02802315731120375,0.025637082529982314
2019-04-30,0.015640572471165903,0.018218492308702094,0.009610056298741343
2019-05-31,-0.02159619778080646,-0.036575533381197234,-0.008104561836001056
2019-06-30,0.04515375897079421,0.06181807554875052,0.0422455491390481
2019-07-31,-0.011267021340353844,-0.012852984233363562,-0.0030413740355266228
2019-08-31,0.0026902734444211873,0.004852915372607347,0.015498349293620706
2019-09-30,-0.017064318149661695,-0.015813612084496387,-0.013037507806567206
2019-10-31,0.052150611435184624,0.06703468772866161,0.035234270894074715
2019-11-30,0.005422246304497946,0.0070926430368964954,0.006495657853830661
2019-12-31,0.045412502943390276,0.046664716747499835,0.026506744313495645
2020-01-31,0.021626585340106086,0.020626190344994466,0.019162016693192507
2020-02-29,-0.06598666410407728,-0.08758284152323381,-0.03449750685398145
2020-03-31,-0.010277999746748034,-0.15630558415246099,-0.07632259772828853
2020-04-30,0.03985023089366946,0.12603762272431562,0.07557746914601249
2020-05-31,0.04414571997411354,0.08643344061595881,0.05136603671452811
