Date,ticker,asset_class,mid_trend_state,ph_bin,context_scope,context_rows,context_mean_return,context_down_freq,context_tail10,context_score,context_adjust
2018-06-27,NVDA,high_vol_growth,BULL,35_50,asset_class_trend_phbin,96,0.0009215811344893374,0.4166666666666667,,0.0804512805610774,0.006436102444886193
2018-06-27,QQQ,broad_index,BULL,65_75,asset_class_trend_phbin,175,0.00036422669165338397,0.4342857142857143,,0.054741440599681224,0.004379315247974498
2018-06-27,SOXX,sector_etf,NEUTRAL,50_65,asset_class,1381,0.0009995674786117718,0.42939898624185374,,0.0734103291173849,0.005872826329390793
2018-06-27,SPY,broad_index,BULL,65_75,asset_class_trend_phbin,176,0.00037742545898303287,0.4318181818181818,,0.05678548374286551,0.004542838699429241
2018-06-28,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,414,0.0009279234787235149,0.4758454106280193,,0.03917837604975083,0.0031342700839800666
2018-06-28,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,410,0.0005226622553499183,0.48292682926829267,,0.02449511364059317,0.0019596090912474538
2018-06-28,QQQ,broad_index,BULL,65_75,asset_class_trend_phbin,177,0.00038342387769954117,0.4293785310734463,,0.05863720131337657,0.004690976105070126
2018-06-28,SOXX,sector_etf,BEAR,50_65,asset_class,1382,0.0010003492909041226,0.42908827785817655,,0.07364658848097536,0.005891727078478029
2018-06-28,SPY,broad_index,BULL,50_65,asset_class_trend_phbin,291,0.00019827786458368724,0.47079037800687284,,0.0252054041451975,0.0020164323316158002
2018-06-29,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,415,0.0009526336029269665,0.4746987951807229,,0.040574049843741175,0.003245923987499294
2018-06-29,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,411,0.0005762355135820748,0.48175182481751827,,0.026603374953707005,0.0021282699962965603
2018-06-29,QQQ,broad_index,BULL,65_75,asset_class_trend_phbin,178,0.00041890696077417005,0.42696629213483145,,0.06117736256419807,0.004894189005135846
2018-06-29,SOXX,sector_etf,NEUTRAL,50_65,asset_class,1383,0.0010041694891572076,0.4287780187997108,,0.07395545457997543,0.005916436366398035
2018-06-29,SPY,broad_index,BULL,50_65,asset_class_trend_phbin,292,0.00020492129237829825,0.4691780821917808,,0.02649345348283259,0.0021194762786266074
2018-07-02,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,416,0.0009084770184341479,0.47596153846153844,,0.03863037151934264,0.0030904297215474112
2018-07-02,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,412,0.0005207295640288314,0.4830097087378641,,0.024390713420187095,0.0019512570736149677
2018-07-02,QQQ,broad_index,BULL,65_75,asset_class_trend_phbin,179,0.0003519072359612395,0.4301675977653631,,0.05732845522731556,0.004586276418185245
2018-07-02,SOXX,sector_etf,BULL,50_65,asset_class_trend_phbin,152,-0.00015254135364433884,0.46710526315789475,,0.019365323302009543,0.0015492258641607633
2018-07-02,SPY,broad_index,BULL,50_65,asset_class_trend_phbin,293,0.00019217071648506992,0.4709897610921502,,0.02491926443113655,0.001993541154490924
2018-07-03,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,417,0.0009255962426949835,0.4748201438848921,,0.03984020910525515,0.003187216728420412
2018-07-03,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,413,0.0005796845824132426,0.48184019370460046,,0.0266242943846975,0.0021299435507758
2018-07-03,QQQ,broad_index,BULL,75_85,asset_class_trend_phbin,183,-0.0002077158649004883,0.48633879781420764,,0.004577660772442936,0.00036621286179543486
2018-07-03,SOXX,sector_etf,BULL,50_65,asset_class_trend_phbin,153,2.3276220134846385e-05,0.46405228758169936,,0.02572202797604676,0.0020577622380837405
2018-07-03,SPY,broad_index,BULL,50_65,asset_class_trend_phbin,294,0.0002192645453016367,0.46938775510204084,,0.026690920515810693,0.0021352736412648555
2018-07-05,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,418,0.0009565440363887024,0.47368421052631576,,0.04137810950490782,0.0033102487603926256
2018-07-05,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,414,0.000624060109472915,0.4806763285024155,,0.02850401267565912,0.0022803210140527296
2018-07-05,QQQ,broad_index,BULL,65_75,asset_class_trend_phbin,180,0.00041890797326214215,0.42777777777777776,,0.06060934691384698,0.004848747753107758
2018-07-05,SOXX,sector_etf,BULL,50_65,asset_class_trend_phbin,154,0.00010285907274399609,0.461038961038961,,0.029741345018583186,0.002379307601486655
2018-07-05,SPY,broad_index,BULL,50_65,asset_class_trend_phbin,295,0.00024719374863856503,0.46779661016949153,,0.028475022848681485,0.002278001827894519
2018-07-06,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,419,0.0009874007727214346,0.47255369928400953,,0.04291002904650776,0.0034328023237206206
2018-07-06,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,415,0.0006412617674788041,0.4795180722891566,,0.02972763181708167,0.0023782105453665336
2018-07-06,QQQ,broad_index,BULL,50_65,asset_class_trend_phbin,296,0.0002767793018108425,0.46621621621621623,,0.03029135189210886,0.0024233081513687087
2018-07-06,SOXX,sector_etf,BULL,50_65,asset_class_trend_phbin,155,0.00014343931012669094,0.45806451612903226,,0.032797382152718,0.00262379057221744
2018-07-06,SPY,broad_index,BULL,50_65,asset_class_trend_phbin,297,0.0002783156460059394,0.46464646464646464,,0.031427050251617294,0.0025141640201293836
2018-07-09,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,420,0.0009821759816612513,0.4738095238095238,,0.04190555689320337,0.0033524445514562695
2018-07-09,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,416,0.0006782977477824282,0.47836538461538464,,0.03142337671600903,0.0025138701372807225
2018-07-09,QQQ,broad_index,BULL,50_65,asset_class_trend_phbin,298,0.0002894572089066248,0.46308724832214765,,0.03278589918825564,0.002622871935060451
2018-07-09,SOXX,sector_etf,BULL,35_50,asset_class_trend_phbin,181,0.001484941458308336,0.40331491712707185,,0.10331815301044978,0.008265452240835983
2018-07-09,SPY,broad_index,BULL,35_50,asset_class_trend_phbin,337,0.00011157636095054256,0.456973293768546,,0.03279652702483081,0.002623722161986465
2018-07-10,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,421,0.0009490213741461654,0.4750593824228028,,0.04023494528354599,0.0032187956226836793
2018-07-10,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,417,0.0006225075553653037,0.47961630695443647,,0.029208766460661763,0.002336701316852941
2018-07-10,QQQ,broad_index,BULL,35_50,asset_class_trend_phbin,338,8.96053623618874e-05,0.45857988165680474,,0.031144611536921975,0.002491568922953758
2018-07-10,SOXX,sector_etf,BULL,35_50,asset_class_trend_phbin,182,0.0013356850080870392,0.4065934065934066,,0.09744105557870433,0.007795284446296347
2018-07-10,SPY,broad_index,BULL,35_50,asset_class_trend_phbin,339,0.0001401721306289665,0.45722713864306785,,0.033305134084947695,0.0026644107267958157
2018-07-11,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,422,0.0009865014861780805,0.47393364928909953,,0.04192248116590426,0.003353798493272341
2018-07-11,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,418,0.0006567786354409952,0.4784688995215311,,0.030834457585512114,0.002466756606840969
2018-07-11,QQQ,broad_index,BULL,50_65,asset_class_trend_phbin,299,0.00027151519310615813,0.46488294314381273,,0.031098304433878877,0.0024878643547103104
2018-07-11,SOXX,sector_etf,NEUTRAL,65_75,asset_class,1390,0.0010126537746394085,0.42805755395683454,,0.07466340282156161,0.0059730722257249295
2018-07-11,SPY,broad_index,BULL,50_65,asset_class_trend_phbin,300,0.00027339607741130693,0.4633333333333333,,0.03222817252453804,0.0025782538019630433
2018-07-12,AAPL,mega_cap,BULL,00_35,asset_class_trend_phbin,423,0.0009878820275267862,0.4728132387706856,,0.04273990152116295,0.003419192121693036
2018-07-12,NVDA,high_vol_growth,BULL,00_35,asset_class_trend_phbin,419,0.0006370660826429215,0.4797136038186158,,0.02949006331039907,0.002359205064831926
