feature,stage1_importance,downrisk_importance,mean_importance,max_importance,importance_gap_stage1_minus_downrisk,is_low_importance_candidate,used_more_by,stage1_rank,downrisk_rank,mean_rank
atr_rank_252,0.010156746994494276,0.006850191051689859,0.008503469023092068,0.010156746994494276,0.003306555942804417,False,stage1,26,57,55
realized_vol_60,0.007795735963136105,0.008854948003005196,0.008325341983070651,0.008854948003005196,-0.001059212039869091,False,downrisk,46,43,56
return_5d,0.006828747959049892,0.009597994187488254,0.008213371073269074,0.009597994187488254,-0.0027692462284383624,False,downrisk,54,37,57
atr_pct_60,0.009394404655303954,0.006881574434174859,0.008137989544739406,0.009394404655303954,0.002512830221129095,False,stage1,29,55,58
close_to_20d_high,0.014586294115563052,0.0011842249737328947,0.007885259544647973,0.014586294115563052,0.013402069141830158,False,stage1,14,79,59
vol_of_vol_20,0.007695939498334487,0.00803399278217273,0.007864966140253608,0.00803399278217273,-0.00033805328383824246,False,downrisk,47,47,60
down_volume_ratio_20,0.006180311954924239,0.009485180446351896,0.007832746200638067,0.009485180446351896,-0.003304868491427657,False,downrisk,66,38,61
ulcer_index_20,0.006960695930054441,0.008291588724973552,0.007626142327513997,0.008291588724973552,-0.0013308927949191116,False,downrisk,52,46,62
ulcer_rank_252,0.0054983587169628,0.009456538269214162,0.007477448493088481,0.009456538269214162,-0.003958179552251362,False,downrisk,71,40,63
high_volume_down_ratio_20,0.0036583816308126504,0.010548285537561961,0.007103333584187306,0.010548285537561961,-0.00688990390674931,False,downrisk,78,33,64
atr_ratio_14_60,0.0064623333717189245,0.00754435545361619,0.007003344412667557,0.00754435545361619,-0.0010820220818972652,False,downrisk,63,49,65
keltner_width_20,0.008922789205335282,0.00477549215631412,0.0068491406808247005,0.008922789205335282,0.0041472970490211624,False,stage1,34,69,66
drawdown_5,0.008061439779938818,0.005565843465955636,0.006813641622947227,0.008061439779938818,0.0024955963139831824,False,stage1,42,63,67
price_position_5_minus_20,0.004323821305069219,0.008932795492206196,0.006628308398637707,0.008932795492206196,-0.004608974187136977,False,downrisk,76,42,68
bb_width_rank_252,0.005857343491770157,0.007117478863278247,0.006487411177524202,0.007117478863278247,-0.0012601353715080898,False,downrisk,70,51,69
bb_width_20,0.006692208048618687,0.006218505666445041,0.006455356857531864,0.006692208048618687,0.00047370238217364635,False,stage1,57,60,70
atr_ratio_20_60,0.006466925616901819,0.005530891265117316,0.005998908441009567,0.006466925616901819,0.0009360343517845031,False,stage1,62,64,71
realized_vol_ratio_10_20,0.004637353874660755,0.006917030717155073,0.005777192295907914,0.006917030717155073,-0.0022796768424943187,False,downrisk,73,54,72
realized_vol_10,0.0067850933433686485,0.004461649012985119,0.005623371178176883,0.0067850933433686485,0.0023234443303835296,False,stage1,56,70,73
down_volume_ratio_10,0.0093840247924192,0.0,0.0046920123962096,0.0093840247924192,0.0093840247924192,False,stage1,30,80,74
high_volume_down_ratio_10,0.008853542527298313,0.0,0.004426771263649157,0.008853542527298313,0.008853542527298313,False,stage1,35,80,75
volume_shock_rank_252,0.004459681218344303,0.004082695769885845,0.004271188494115074,0.004459681218344303,0.0003769854484584577,False,stage1,75,74,76
true_range_pct,0.006259070218422696,0.0019915632842006157,0.004125316751311656,0.006259070218422696,0.004267506934222081,False,stage1,64,78,77
volume_ratio_20,0.004473947787617016,0.003768057649529837,0.004121002718573427,0.004473947787617016,0.0007058901380871787,False,stage1,74,76,78
volume_zscore_20,0.005455382247621148,0.002726739309047516,0.004091060778334332,0.005455382247621148,0.0027286429385736323,False,stage1,72,77,79
trend_consistency_20,0.001025332467583616,0.00621481131808668,0.003620071892835148,0.00621481131808668,-0.005189478850503064,False,downrisk,82,61,80
return_5d_minus_20d,0.006804909151678802,0.0,0.003402454575839401,0.006804909151678802,0.006804909151678802,False,stage1,55,80,81
return_10d_minus_20d,0.006172409917203439,0.0,0.0030862049586017196,0.006172409917203439,0.006172409917203439,False,stage1,67,80,82
bearish_ma_stack,0.00043394011236304076,0.005670424275029602,0.003052182193696321,0.005670424275029602,-0.005236484162666561,False,downrisk,83,62,83
